Real Eigenvalue,Numerical Eigenvalues
0,-0.000191044283575945
2,2.006966480524352 2.007382265378562 2.009895826852075 
6,6.034783067275762 6.035072683962857 6.058940979712266 6.059089376602298 6.066225483191087 
12,12.102725341866496 12.105516175463578 12.174848035008912 12.175112296392722 12.223414990338796 12.223636780199662 12.257438578008928 
20,20.249837823807212 20.250264548329966 20.395108218625591 20.407712281753092 20.507755907925137 20.508252854958318 20.633737703882613 20.633843761526478 20.657722575392366 
30,30.520007811588506 30.520245338013229 30.791420090390698 30.791539203036066 30.950453935114062 31.024705326457543 31.233508629961250 31.233686030530446 31.374852831790513 31.375327994245882 31.426346390127179 
42,42.942091081831457 43.006502478789201 43.416855069366022 43.416958910005150 43.726218262374829 43.726851264888701 44.101032972846269 44.212033511790779 44.436038945459046 44.436264418299650 44.651121084244259 44.651319275036144 44.686211538694188 
56,57.685298812783259 57.685717702351504 58.353174561640778 58.365511627410449 58.800178743375305 58.800653399508896 59.484930037927825 59.485289358595345 59.942985285498587 59.958302946163521 60.409194944068119 60.409275900007259 60.575149093749651 60.575291238207008 60.743848266478352 
72,74.736158941376431 74.736490543423969 75.712400853349934 75.712447630130868 76.186912445696947 76.447802816480404 77.302644486786235 77.302838459696531 78.039803657057149 78.039872705521333 78.762544820633366 78.818451117250845 79.190108107444772 79.190279592955619 79.572339975285871 79.572634050716658 79.653439201349329 
90,94.131685634137085 94.305362841139186 95.554928368949078 95.555028499795142 96.399643462079965 96.399882495946628 97.565511781778994 97.881138303909438 98.762035965135453 98.762476497904046 99.947055957102108 99.947192833638070 
110,100.608595165990863 100.808560099005362 101.219283082222006 101.219712737920815 101.742130720470783 101.834145185452883 101.834299639382593 116.238099796674106 116.238167438376507 118.071718925728234 118.112944711625261 119.017208529400136 119.017458481684855 120.905767283964153 120.906138627067165 
