Real Eigenvalue,Numerical Eigenvalues
0,-0.000000000000004 
2,1.999999611142230 1.999998244506840 1.999998244506820 
6,6.000001041141270 6.000001376204950 6.000001376204960 5.999995727482120 5.999995727482100 
12,11.999999816761701 11.999998093340301 12.000014317790800 12.000014317790800 12.000026476562500 12.000026476562500 12.000037758135500 
20,20.000020414610400 20.000020414610400 20.000057221246099 20.000072702329099 20.000117231228099 20.000117231228099 20.000160632339998 20.000165476310801 20.000165476310801 
30,30.000088277291500 30.000088277291500 30.000202820471600 30.000202820471600 30.000343917529101 30.000344538853302 30.000487306146901 30.000487306146901 30.000529086605400 30.000529086605400 30.000615292833800 
42,42.000250635045496 42.000256797115398 42.000506053009403 42.000506053009403 42.000827712312997 42.000827712312997 42.001148934056999 42.001179311857300 42.001319754167000 42.001319754167000 42.001536193417202 42.001613928487799 42.001613928487799 
56,56.000599358224797 56.000599358224903 56.001102473325503 56.001112514105500 56.001736334656101 56.001736334656101 56.002401397176797 56.002401397176797 56.002831032838600 56.002843358290200 56.003428617934198 56.003428617934297 56.003624471863098 56.003624471863198 56.003903472937303 
72,72.001249876185199 72.001249876185199 72.002190868263995 72.002190868263995 72.003265246054298 72.003412581983696 72.004488030283596 72.004488030283596 72.005465645131906 72.005465645131906 72.006618708727402 72.006637875432702 72.007229830496698 72.007229830496698 72.007909535433498 72.007915003503598 72.007915003503598 
90,90.002272671791303 90.002514624522206 90.004003455343494 90.004003455343494 90.005974394112201 90.005974394112300 90.007680383068305 90.008008914367295 90.009688875084706 90.009688875084805 90.011697078124001 90.011697078124001 90.012889558842900 90.013525062639104 90.014443870834796 90.014443870834796 90.015198396151703 90.015198396151803 90.015381202373803 
