Real Eigenvalue,Numerical Eigenvalues
0,0.000000000002039 
2,1.999999999999848 2.000000000000127 2.000000000003039 
6,6.010064463668254 6.010064463668607 6.019126248576426 6.028813870547404 6.028813870549948 
12,12.052602852205156 12.054104473536764 12.111659413003661 12.111659413004674 12.116659136920461 12.116659136921511 12.137919229911532 
20,20.165303920947853 20.165303920948340 20.291070919522124 20.308790343442411 20.334901377135456 20.334901377135740 20.412792969187233 20.423641673568930 20.423641673569595 
30,30.389819239386220 30.389819239386682 30.640197576839270 30.640197576839412 30.732137724481934 30.737077764617236 30.947904636469811 30.947904636469929 30.987347264312376 30.987347264313044 31.050434145917539 
42,42.746314950245100 42.830145151256204 43.203371328168025 43.203371328168586 43.369401591044422 43.369401591044571 43.746280133024030 43.813240205197388 43.910138825894983 43.910138825896226 44.076960179413653 44.124477168284983 44.124477168285139 
56,57.427328549141862 57.427328549142466 58.055280661526460 58.079676178448935 58.333392203143077 58.333392203144179 59.005521589268888 59.005521589269158 59.232162003192421 59.299990137388981 59.711577401379017 59.711577401380040 59.752575212401212 59.752575212402142 59.955867300808663 
72,74.385080559411875 74.385080559412330 75.331519399848020 75.331519399848560 75.603372481610023 75.851397303647829 76.689316586782155 76.689316586783050 77.197469530216864 77.197469530216949 77.810200907884621 78.008649935661978 78.129917335508182 78.129917335509447 78.506802954333267 78.536967085611906 78.536967085612687 
90,93.672567268566695 93.815026671126887 95.076197882295702 95.076197882296100 95.645615185449913 95.645615185450822 96.931585390486120 96.955797126512252 97.755297134246931 97.755297134247229 98.833393321013574 98.833393321013702 99.315901133850105 99.377206291894751 99.949471076489360 99.949471076489417 100.304966538460420 100.304966538460675 100.416121960234719 
