Real Eigenvalue,Numerical Eigenvalues
0,-0.000000000000001 
2,1.999980942922833 1.999982763751095 1.999983900125631 
6,5.999956624015319 5.999960297335897 5.999964648292848 5.999968202344112 5.999974659220774 
12,12.000079691576071 12.000084975990358 12.000098308382990 12.000106543384732 12.000112170133026 12.000122838864847 12.000135430353275 
20,20.000803009584768 20.000843756191138 20.000869456484647 20.000915988096295 20.000933496632840 20.000961857909179 20.001020598472678 20.001059344649736 20.001113350118828 
30,30.003188318334885 30.003531556836840 30.003588291708741 30.003630547162530 30.003705399392441 30.003720523998361 30.003822387905693 30.003871121575184 30.003927566425808 30.004114907141098 30.004259371461924 
42,42.009696941433290 42.010051974019298 42.010214466204864 42.010358893712592 42.010656315922773 42.010719725581822 42.010852980507266 42.011067220898788 42.011262000988886 42.011333205236198 42.011821284187846 42.012263356876673 42.012483285961551 
56,56.023899643608694 56.024174569674599 56.024393733644978 56.024977183503509 56.025191839290287 56.025496509271399 56.026194109973517 56.026428308702570 56.026801484289805 56.027474331836181 56.027793272657902 56.028304596091793 56.029185952904712 56.029863516993657 56.030688184073320 
72,72.050603864648750 72.051433586340849 72.051940815121299 72.053220438254257 72.053640404376040 72.054556100651297 72.055713826053477 72.056740088653299 72.057062231872237 72.057276539189388 72.057805856104338 72.059069991916090 72.059858755832366 72.061131508966042 72.062382621837656 72.063740572426951 72.068165089369984 
90,90.097799939534056 90.100636084669901 90.101849140624779 90.103428395356289 90.103790113224179 90.105603982863059 90.107342327083344 90.109226840917245 90.109537914320597 90.110517971560682 90.111866806437988 90.112737924203756 90.113714621753388 90.116915593497964 90.118420360457094 90.119736226184258 90.122786912197327 90.128356381625593 90.131536379976524 
110,110.176595715292635 110.181094435722258 110.182273877013102 110.184185612920629 110.188453686620477 110.190610957548756 110.190894034861458 110.193862905375482 110.197003697890224 110.199334246512876 110.201507425166881 110.202949780611206 110.204682978829865 110.205667104693461 110.210168875209476 110.212648466409519 110.215716535857567 110.221116333987752 110.226564482262489 110.235639462194101 110.241180551985963 
